engagement_score,days_since_login,sessions_last_30d,support_tickets_last_90d,churned
0.424548,4,6,0,0
0.527589,13,13,1,1
0.63718,14,17,3,1
0.517255,8,17,2,1
0.681351,11,12,0,0
0.763978,6,30,1,0
0.520628,4,14,2,0
0.295591,15,7,2,1
0.652158,10,24,1,0
0.832994,1,23,0,0
0.341937,16,8,1,1
0.531028,4,16,1,0
0.836435,18,24,1,0
0.458254,19,11,6,1
0.72134,6,12,3,0
0.405575,10,17,2,1
0.292479,2,15,2,1
0.404779,7,12,0,1
0.612779,5,16,1,1
0.528655,4,9,5,1
0.69265,5,24,1,0
0.323307,49,9,0,1
0.694842,1,19,2,1
0.386304,1,17,2,0
0.646327,5,19,0,0
0.631348,3,19,0,0
0.192574,14,10,3,1
0.693927,2,20,3,1
0.470119,20,17,2,0
0.876428,10,26,0,0
0.39651,2,11,1,0
0.818043,1,17,1,0
0.315654,13,11,2,1
0.158896,0,6,2,0
0.71958,2,20,0,0
0.155511,27,5,1,1
0.223485,2,3,1,1
0.82829,6,23,0,0
0.464758,6,11,2,0
0.609631,30,13,1,0
0.673928,4,22,2,0
0.683623,14,14,0,0
0.454947,25,12,3,1
0.097336,2,3,1,1
0.275861,8,12,3,1
0.342658,9,9,3,1
0.809397,4,32,1,0
0.804864,12,20,0,0
0.186799,1,4,1,1
0.436672,3,14,1,0
0.911355,1,20,0,0
0.508694,1,17,0,1
0.648667,2,26,0,0
0.650575,3,23,0,0
0.625376,3,23,2,1
0.422539,0,14,4,1
0.192623,10,7,4,1
0.663114,1,16,2,0
0.702807,4,15,1,0
0.187967,9,3,4,1
0.893313,5,21,0,0
0.041932,7,4,1,1
0.064295,1,7,1,1
0.19673,0,8,1,0
0.373918,6,14,2,0
0.521216,16,14,3,0
0.457598,36,10,1,1
0.519277,13,12,1,1
0.367678,5,14,2,1
0.843041,18,21,1,0
0.352354,28,14,2,1
0.427165,16,14,2,1
0.229483,31,7,2,1
0.491629,14,13,3,1
0.760501,6,29,0,0
0.884327,10,26,1,0
0.62302,9,12,0,0
0.555535,22,13,1,0
0.407119,3,12,0,1
0.630425,1,13,0,0
0.347167,7,11,3,1
0.621972,1,18,0,0
0.503266,6,9,1,1
0.593552,10,18,2,0
0.796983,13,24,2,0
0.20366,45,7,4,1
0.552557,4,23,1,0
0.46969,5,16,2,1
0.592797,4,17,2,0
0.597959,0,16,0,0
0.579064,2,13,1,1
0.775731,1,16,0,0
0.843912,5,26,0,0
0.427185,6,11,0,0
0.305374,34,9,2,1
0.1409,0,5,6,1
0.885424,2,21,0,0
0.255552,6,9,2,1
0.426913,10,10,2,0
0.483187,3,8,0,0
0.320569,4,7,1,1
0.47295,3,12,3,1
0.858754,7,24,0,0
0.035618,4,2,4,1
0.324128,15,16,2,1
0.357208,14,14,3,1
0.638848,7,21,0,0
0.206354,5,5,1,1
0.404777,1,9,3,1
0.321286,7,10,3,0
0.527511,11,16,0,0
0.396924,105,16,3,1
0.26734,5,11,3,1
0.703102,1,23,1,0
0.763257,1,14,0,0
0.619663,20,21,0,1
0.860429,4,30,0,0
0.313241,4,11,2,1
0.621443,5,12,1,0
0.33767,5,9,1,0
0.673309,5,10,1,1
0.524465,10,18,1,0
0.652457,2,20,2,0
0.234097,17,14,0,1
0.725407,12,22,2,1
0.841808,1,19,0,0
0.044367,2,4,3,0
0.111753,8,5,2,1
0.746411,10,28,0,1
0.381939,5,13,1,1
0.463093,53,11,2,1
0.147547,22,5,4,1
0.492755,1,14,2,1
0.619595,8,24,0,0
0.765785,10,11,1,0
0.919766,1,23,0,0
0.129983,26,7,2,1
0.411801,3,14,3,1
0.554427,2,24,1,0
0.571868,9,13,1,1
0.625679,1,20,1,0
0.40813,11,14,3,1
0.357186,3,13,1,1
0.372014,3,9,4,0
0.16782,16,4,2,1
0.321775,8,10,3,1
0.508596,13,14,4,0
0.831207,5,15,0,0
0.788308,15,25,0,0
0.818181,11,28,0,0
0.316082,6,11,2,1
0.451841,11,12,1,1
0.800933,1,17,1,0
0.904941,7,15,1,0
0.608895,1,24,1,1
0.230046,0,8,1,1
0.461215,5,15,2,1
0.464309,5,12,0,1
0.646023,10,18,1,0
0.798183,1,18,2,0
